demo	player	tier	split	trained_frames	raw_frames	paired_cov	peak_hspeed	p50_hspeed	source_sha256
smackdown__paradoks_e_vs_ibh_dm3.qwd	paradoks	B	train	8409	86612	0.822	1243.8	329.0	abb6e0483c6df9b1b01ded4af8cecda581794e26422c623b0a4e848aca3e5425
smackdown__list_adm_1_dm3_pd.qwd	pd	C	train	5626	73300	0.495	1294.9	325.2	54724b269adb79ddac03e86c8aeaa68744619fb5739808d342a579c0e5346765
smackdown2__cmf_adt2_1_dm3_Peksi.qwd	peksi	A	train	10926	86975	0.984	870.8	319.8	687ac7c9177efdf5ca7a738ab7996249b9878744fd8aac8ff9dda2d2bcdd7700
smackdown2__game_271_E_CMF_2_DM3_Peksi.qwd	peksi	A	train	10229	87854	0.956	1390.2	324.1	9ffdd06c6e482f38eb23476e40da7cf263cee637bf52f5f27446bcd80327f452
quakeworld__CHTV__r_chris-USA_skill200frogbot-Australia__r_chris_dm3_QWCA_Domination__pentandwater.qwd	pentandwater	A	train	3858	5709	0.948	1300.1	319.5	3b5018645bbe2bcdd7447b99894c5a0098654b44f3b2f5fcfe7f5148fb39bc1f
quakeworld__CHTV_peppe-Sweden_NA-Scotland_peppe_dm3_dm6_Quakeworld_Trick__peppe-dm3run.qwd	peppe	A	train	324	1016	0.978	705.3	634.2	2e713bcaa696f9b3595e87c164900b29e0a6d2c939743f6f1449730617b6e1d1
SmackDown3__game_590_ED_DIE_2_DM3_pietro.qwd	pietro	B	train	4475	87611	0.867	963.7	322.7	1725149163740abe0f393e91488728a68233498f2cda50f3d0b92f5d3c5d6cca
quakeworld__CHTV_Dunno-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_d_vs__s__dm3_pietro.qwd	pietro	C	train	36378	104797	0.677	1964.3	321.4	2ce586b99ab150935931cda082ad64b9c32c0a84421b2a8fbec898372d5d8453
smackdown2__FF_4K_1_dm3_Pietro.qwd	pietro	A	train	6869	89592	0.904	3110.6	327.0	cbb1604dc852721ad289915b4fd05f4811b7c8616b774657e3a5e9d0ecf222f8
smackdown2__FF_4K_2_dm3_Pietro.qwd	pietro	B	train	4145	86967	0.896	1287.7	331.2	8ffda5d6b4f136ed8c7c9b311628898b92aeb092ab39a983e92851797e8b626a
SmackDown4__game_718_sa_msr_2_dm3_porto.qwd	porto	A	train	7445	86744	0.934	1479.0	328.1	b984a3e0c13eca33c9372fc0f576fdb9d797e010f2b3e524db291a987ea7869b
smackdown2__aok_lies_1_dm3_povo.qwd	povo	C	train	8688	87484	0.318	1874.6	321.7	04dd89776fb73e9d11dde82dec6b7fd847dd16ca28415d23acf93f6686a04733
smackdown2__azul_aok_1_dm3_povo.qwd	povo	B	train	10604	86496	0.75	1210.4	311.0	d0fbab06e6482f54172d53f3778bd26d7c153f56f78ed7eec9522065b8f73bc3
SmackDown5__game_1021_otas_dx_1_dm3_povohat.qwd	povohat	B	train	7126	86785	0.875	2634.7	326.0	95c7f0ee15a96b6845b0c6c91935201ce9d41ed7b70fc55b96f434a4d88f36a3
smackdown2__azul_lies_1_dm3_pricide.qwd	pricide	B	train	16081	86081	0.882	1325.9	301.8	175a9d54424cc9a374bb9e1fd0bf68cabbd420b42095b3058c68296bc1f9ae77
smackdown2__ToT_AMD_1_dm3_Psycho_Dad.qwd	psycho	B	train	6436	86808	0.885	1359.5	329.0	0afbe7b033eead7495d0404d4075115a95ee21bee9f1027a4a3e8ba9f6d4af8b
smackdown2__tot_para_1_dm3_psycho_dad.qwd	psycho	B	train	11264	84731	0.899	1104.4	266.3	ee807c50e32fb258514059a2c68c72fcb6c2ad34ecafc5e05d2a076d23071876
quakeworld__CHTV_Seco-Brazil_-__Dm3_QuakeWorld_Trick__pulorlz.qwd	pulorlz	C	train	86	499	0.483	528.4	308.0	8215807d2aa28afb7fb3d8f09129715e5cc11bb1bb496f2a2723d367a2dbc4d3
quakeworld__CHTV_FiringSquad-Europe_Qandrane-Europe_fix_dm3_e1m2_QuakeWorld_4v4__qand_vs_[fs]_dm3_03-10-12_000.qwd	qand	A	train	12769	93146	0.932	1122.4	326.8	ecf848ff036eff97cea3eda127a89be66be992f879479cd3a7f24a7d7d2443d0
smackdown2__dn_v_wfb-dm3_rags-_sd2_.qwd	rags	A	train	7186	86760	0.984	1556.8	343.5	65d9f1a3952b39a0af4a2afc9c705b4bb98c047e13929df7119d689e590953c4
quakeworld__CHTV_BogoJoker-USA_KovaakSassaSniperZef-USA_me_various_QuakeWorld_Trick__dm3_raremix.qwd	raremix	A	train	794	832	0.989	574.2	373.0	4204840a928fa431ca1d0688b38b093d8576303acab4d7efe185d294d5846318
quakeworld__CHTV_BogoJoker-USA_KovaakSassaSniperZef-USA_me_various_QuakeWorld_Trick__dm3_raremix2.qwd	raremix2	A	train	249	386	0.987	647.1	387.0	52027ebfb2e04759ef6992803a533cf9b7645290b01f59c870a7e67e25605cdf
quakeworld__CHTV_BogoJoker-USA_KovaakSassaSniperZef-USA_me_various_QuakeWorld_Trick__dm3_raremix3.qwd	raremix3	A	train	812	840	0.989	440.0	327.1	877d256fb5eeb6e6567a2b14b3328fb76f3c63086299b561ed71d1b2b1f5bccf
smackdown2__FF_D_2_dm3_Rat.qwd	rat	B	train	4691	91159	0.859	1288.3	325.3	e6012dfa9ac6431332b51d9835fce4f52f2d9be9886dd5d91bc0c2a69089ced6
smackdown2__chtv-smackdown2-daltons-vs-firingsquad-dm3-rat.qwd	rat	B	train	11066	88675	0.892	1492.8	322.0	c2ffddd6dc72e60e3b1a5fc36aa5324431c4b39c458055cc98b83b44fe008312
smackdown2__chtv-carnage-st-vs-rb-dm3.qwd	rb	B	train	3627	40414	0.829	1252.4	321.0	c37b9f3dc5b1d02d97203956e20195b2286ee6bd20cb22c99df3e41bacbe9a56
smackdown2__OMG_RC_2_dm3_.qwd	rc	B	train	7721	87253	0.874	940.0	321.9	eaae10320c87d8654714611f53ce3671c8ecab2fe95095e97c7c0461068ff954
smackdown2__foad_rb_1_dm3_reign.qwd	reign	B	train	5521	86742	0.735	1012.4	325.2	7bb8da09afd7526d4178deff6b6034d91dcdf80a6e82ed1b7eb5e42b2ad15b39
quakeworld__CHTV_BogoJoker-USA_none-USA_BogoJoker_various_QuakeWorld_Trick__dm3-remix.qwd	remix	C	train	65	654	0.59	592.9	464.1	ae6e45a0c13fe9ea9de9cd6f28d76651e314a2e3f40fef828f1435bed0308fd4
SmackDown3__game_502_4K_FS_1_DM3_reppie_.qwd	reppie	B	train	8983	86965	0.799	1663.7	323.7	139d96bf34cbcfa158c5cb85a2f008655dac2ff5492f8fb4ee14425400444846
SmackDown4__game_650__fs__jams_1_dm3_reppie.qwd	reppie	B	train	7446	81658	0.816	1725.7	330.0	138f708a0fec3a70dd95bab199ff8c80bf1bc0a8850e097f22ecdeef2aa20fc2
SmackDown5__game_919_ted_fs_1_dm3_reppie.qwd	reppie	A	train	6980	86635	0.964	1231.1	331.0	c89b4d3afe6c9091e4dbe1a8c8e21f07312ce92f0a97d56434c7947165056fc1
SmackDown3__game_428_ED_DEATH_2_DM3_reverend.qwd	reverend	A	train	8293	87430	0.983	894.5	320.1	9143bf6a0a64621ec714b7cdef69ca6f46c0879a80d6cc6043cb7f1f0c0ac0cd
SmackDown3__game_593_ED_OC_2_DM3_Reverend.qwd	reverend	B	train	21900	87467	0.768	1068.2	321.6	b31f3b1da1dfc8017dd12dff11bafa228ca75d93f913479e4b334d9338fac5f7
smackdown__orb_pq_1_dm3_reverend.qwd	reverend	A	train	75705	86017	0.943	983.9	327.0	19e7faf00cb0f8c1bc2a781974600407ca1d96ae58c017003a028ca054853583
SmackDown5__game_901_cb_fs_1_dm3_rippie.qwd	rippie	B	train	9329	86818	0.837	984.3	325.3	f554c54b11ffcfa8166317f8dfa3c207b88605dc2441f46d0b3c1c1250a65a10
smackdown2__fs_wxo_2_dm3_ritual.qwd	ritual	A	train	13812	86459	0.98	1091.5	321.3	00c43ac6c4e7bd62d0c2f0793a289d1b08576d2c334eee47d7059e93c6f4a276
smackdown2__koff_spas_1_dm3_Roscoe.qwd	roscoe	A	train	7706	87894	0.921	1250.9	324.0	da410fff43d360f4307139d0faa3ef36d0f16299398320d34610a7aecaf923fb
smackdown__Goljat_e_vs_ff_dm3_round1.qwd	round1	A	train	9812	89706	0.916	1219.0	320.4	f6e6e6c8a4cd16eca5f5117fa6a93943008504a83bfa366ac0e69b9ff96b76d8
smackdown__Goljat_e_vs_ff_dm3_round4.qwd	round4	A	train	9888	87053	0.921	1165.4	321.0	d0c3db815e6a1e90fae9a147bf750d1b63a94b9296b3a2b2e9d008a00b30ff9c
smackdown__Goljat_e_vs__ff__dm3_round5.qwd	round5	A	train	8514	87980	0.931	1412.0	325.5	d7b57b1fc71019701076001e7ebfc50c9ab6a0ebf0f80293021ad5bc23f12db7
quakeworld__CHTV_RST-Brazil_LOW-Brazil_overflow_dm3_QuakeWorld_4v4_1__rst-low-2.qwd	rst	C	train	1791	88522	0.375	880.0	226.9	38e6f02b0e81d3995e65a1e080c12e39027464b80f6a5ec79c8bdef24e58b383
SmackDown5__game_870_trash_-tf-_2_dm3_rush.qwd	rush	B	train	13864	93233	0.776	2437.7	319.5	71e06f5f7d60ca437f07aa4662a6dabd5e36aeb9a66c0280c0582f41b93a5b0f
SmackDown3__game_325_SAD_IK_2_DM3_sANDYMAn.qwd	sandyman	A	train	32984	86488	0.944	1265.1	320.4	dad42a08cdabd81b429de155706f622a472a29c9035fc3aed50538ef09631631
quakeworld__CHTV_Maniacs-Sweden_Numeric-Europe_Sassa_dm3_QuakeWorld_4v4__sassa_[[0]]_-_[_]_4-4_dm3_.qwd	sassa	A	train	80973	92876	0.993	1376.6	313.4	50a84fac0f7d40fe328f24c52dd427842a1085fb42ba796e0b4d6e26f7e2d0bb
SmackDown5__game_820_koff____1_dm3_scenic.qwd	scenic	B	train	5101	87432	0.79	1290.1	342.0	ee956d2194163fd9811349ebfba923716645df1a3bb175d0f5b4569692dab7d6
smackdown2__koff_adt_1_dm3_Scenic.qwd	scenic	B	train	14470	95646	0.798	2093.4	319.9	bcc3d77b291fe36c88ea8d1190f4c51612b575fdf22273464ab285e0bbdcaaee
smackdown2__koff_dn_1_dm3_Scenic.qwd	scenic	A	train	9521	87585	0.923	1175.6	321.4	1f27339c107c977af5615ea0c67611e051a2a163666ca032e2dfda27c0d7db47
smackdown2__Janus_omg_vs_tot_dm3_sd2_7feb01.qwd	sd2	B	train	13959	86956	0.792	1185.0	319.3	17a092644a8e01c44122e25a35dd8edc10b75465b6c4d0803d17125824f48486
SmackDown3__sd3_cano_x_vs_ag_dm3.qwd	sd3	B	train	18598	86511	0.731	1261.1	326.0	20f99c0a5e7d654872582250a4450d7da5391f43550d7f201f6070b299b2a1ad
SmackDown3__sd3_clown_x_vs_ag_dm3.qwd	sd3	C	train	3580	86363	0.658	956.7	321.0	eeb2dc43ac678695e471f3bce207b79544c96c533fd51c15fdbeac33494bc04e
quakeworld__CHTV_Slackers-Europe_Firing_Squad-Europe_]sr[_dm3_QuakeWorld_4v4__Gamer_]sr[_vs_fs_dm3_sfinal.qwd	sfinal	B	train	24336	93435	0.88	814.0	325.1	a09d76a1515afacef11a9094c3e6c53d76446a2eda1288e39cf034991d629934
quakeworld__CHTV_Slackers-Europe_Firing_Squad-Europe_]sr[_dm3_QuakeWorld_4v4__ParadokS_]sr[_vs_fs_dm3_sfinal.qwd	sfinal	A	train	78800	91049	0.985	858.5	327.0	b1513112159cb6c4fc8918d6be96390c5da2149edf404244c9eb5ad96b3d4b4d
smackdown2__ic_list_1_dm3_shad.qwd	shad	B	train	4776	86546	0.872	1158.5	321.6	669ef114d8bc52a87a57670bbb7bfb101bc4a7fb841fadb7c058539446d610b2
quakeworld__CHTV_Tribe_of_Tjernobyl-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tot_vs_e_dm3_sibbit.qwd	sibbit	A	train	9609	86846	0.985	1349.2	330.6	e8fc33055c7c7721a48fbd7e4db1758aa0c7eeb69fdbdcf5012f984160180bbf
quakeworld__CHTV_Tribe_of_Tjernobyl-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tot_vs_tvs_dm3_sibbit.qwd	sibbit	A	train	6468	86567	0.98	1811.8	328.7	8364818a49cfb78e07cfc1c2242025020bed9e28ed5d0a3b8048221a04df1aee
laker__sc-sk-dm3__sc-sk-dm3.qwd	sk	C	train	7468	81413	0.527	1193.6	319.5	dc5cb12ea45f961b6f580e8ed5156bd2d3c58d940788dcfb06dc4275d654c565
quakeworld2__sk_vs_187_dm3__sk_vs_187_dm3.qwd	sk	C	train	1097	75095	0.242	463.0	228.4	4919a8be69286828be5d10e15ffcf7997d3c84a0b65ad6096ca1c16e6a71c170
quakeworld2__sk_vs_nine_dm3__sk_vs_nine_dm3.qwd	sk	B	train	6657	58158	0.711	992.0	321.0	c6d2e04417a266046027a45ee7d999720a7ec1b1670503700de760e8abf5f3dd
SmackDown3__game_440_TOT_WR_1_DM3_Slabby_voice_.qwd	slabby	A	train	12854	88815	0.982	1340.7	321.9	b70233dbefa7f06dad8bddc6abf12cd21e4c92f43ab24ca40fd5d7d4503a7536
quakeworld__CHTV_Tribe_of_Tjernobyl-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tot_vs_wr_dm3_slabby.qwd	slabby	A	train	12854	88815	0.982	1340.7	321.9	b70233dbefa7f06dad8bddc6abf12cd21e4c92f43ab24ca40fd5d7d4503a7536
smackdown2__tot_omg_2_dm3_slabby.qwd	slabby	B	train	10168	86166	0.828	1339.0	319.0	fd5c7e45ba76145f547a99ff8de9fc5d598277f3355eefaa5f2c8fc87acbbbd0
quakeworld__CHTV_---slayer-None_trick-None_124_fov_-_first_person_dm3_QW_Trick__slayer.qwd	slayer	A	train	1048	1959	0.978	778.2	531.4	1a5bfe546dc0689609f133763fc21e0459168842ee80db1e996f6e1f74ca2512
smackdown__e_cmf_dm3_smackdown.qwd	smackdown	B	train	9507	86405	0.77	1318.6	327.1	7e0b06fdc6f9890a06b6e240905395013f786ecf38f6f704ee3f79e84fa868f8
smackdown__fith_vs_5_dm3_het__smackdowngame1.qwd	smackdowngame1	C	train	9577	87005	0.57	947.1	319.3	cd5580e4b6b75fcb59c7ebc249d4602075e9b9839a6403130631d007204c033e
quakeworld__CHTV_Hard_Guns_Crew-Poland_Clan_Osams-Poland_MVD_DM3_QW_4v4__smid.qwd	smid	B	train	7109	87372	0.7	1247.7	321.5	3250dcfa8d9ba8729420ec779956f4b3252bcecab2b4e35da2e0ae2beededac3
smackdown__ag-vs-fith-dm3-1-snakes.qwd	snakes	B	train	15808	80309	0.814	1407.5	320.6	814ef88a3833942181f4f5784cf6d1035bfec27198781d00eeeb236155b91f44
smackdown__ag-vs-fith-dm3-2-snakes.qwd	snakes	B	train	15446	82063	0.815	1358.1	288.0	e034a46f6e6c8c77661d485f7d9f5394a40f1f17d8c26ef4d167467a74a585a7
SmackDown3__game_562_THDM_MaC_1_DM3_Spice_POV.qwd	spice	C	train	3935	86682	0.614	977.5	331.5	2ec93c7dd89103451343482d9abdee6c1102a4bd67bd2b4b4ebbd590c3bf0811
SmackDown3__game_606_THDM_FA_4_DM3_spice.qwd	spice	B	train	6521	86136	0.756	1312.0	326.0	52b6340dd569334a499a2dd4ab3e15f177acda67cdd3ff0790177848154d62bf
quakeworld__CHTV_Nine-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_9_vs_e_dm3_spice.qwd	spice	A	train	64105	85325	0.923	1110.1	328.0	4170b931224ff2ec6144d3946e5ade316ce8af3247d508e977c4c8bf34b6834a
smackdown2__fa_thdm_1_dm3_spice.qwd	spice	B	train	7381	87640	0.845	1013.0	327.0	504aa50c5249496d256fc3972afa2180786dc7e7149e8a897f689e9ad70d0e43
smackdown__fa_adm_1_dm3_spice.qwd	spice	A	train	30180	87221	0.932	999.1	331.6	b6afcae2bcafdc2dad7522c567dfc790817a199fe048417c0af29c2d97f20dbd
smackdown__fa_list_1_dm3_spice.qwd	spice	A	train	30133	86516	0.937	938.6	336.0	9f3a8a3aed2a775655026048fde156b64ed05ddcadd2cfa238aef5b961963a35
smackdown__rb_fa_1_dm3_spice.qwd	spice	A	train	42328	86966	0.948	1265.8	236.4	f2e4a5f051467392754d0a56089cee0dc0f851a3438be27da8db4aaa95be5684
smackdown2__chtv-exoduz-rb-vs-st-dm3.qwd	st	C	train	10806	87015	0.607	1289.9	266.2	5296488e122dfd97a4533fbcb79b577dd23cd479fb59672b67c5e7a3806a9141
SmackDown4__game_690_wr__sr__1_dm3_striker.qwd	striker	A	train	5714	91141	0.949	952.5	324.3	1f1953f9cb0a9c50efa7569e6ad4832e15b17e3f851ef1955157a17baed8e991
smackdown__l_hf_dm3_swe.qwd	swe	B	train	20522	87108	0.851	1237.2	320.7	2484f0d7f11ad2dd9d98a9844e3461d2f9d623a51b0441715822c2ba17fa4690
smackdown__d2d_list_1_dm3_syco.qwd	syco	C	train	1722	24517	0.263	1396.1	292.4	250d62fed447ccebbd7942e1c73a6adc48b35d1ea841e30b3353be01c9214570
quakeworld__CHTV_RoT-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__27-06-03_nitemare-rot-tav_dm3.qwd	tav	C	train	6207	90490	0.371	1257.5	320.3	03e8772bf9669bb2a3aa85ff347e20350a5c8b7c346b014215356fb8a475b9c3
quakeworld__CHTV_RoT-Portugal_TAV-Portugal_all_dm3_QuakeWorld_4v4__27-06-03_ztranger-rot-tav_dm3.qwd	tav	C	train	14618	81732	0.674	1413.0	319.8	76e2310db73cb5b3475ff2e4c14c61fa727c7e6c7637be5b29d96f25c950adf7
SmackDown5__game_844_jams_amd_1_dm3_telly.qwd	telly	B	train	18040	94216	0.804	1282.6	326.7	b2e96be56ddc8428155101ada9f20558e40bd335616b43c9e1c4d6626164fa3d
SmackDown4__game_658_z___3_dm3_thechosenone.qwd	thechosenone	A	train	32252	88002	0.932	1106.7	324.7	a9cdc6e4235d351de0cab40b1e65b0f38352045458679918d86dc7111b7dd465
smackdown2__E_omg_1_dm3_TheChosenOne.qwd	thechosenone	C	train	10341	86084	0.633	1311.1	322.3	4f99fe2e557326126ba7862d1b31023ce3675934e47e10da93845e525926d9ba
quakeworld__CHTV_The_Pooh_Clan-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tpc_vs_sc_dm3_tiggr.qwd	tiggr	C	train	681	78691	0.533	907.4	319.5	2aeacc97b9bea0a2d69419fcbbdb082614efa766b24078669775066fc7548da3
smackdown__tot_capcop_tot_vs_cmf_dm3.qwd	tot	A	train	10099	86837	0.988	1408.5	324.8	b6abc42282a5027d113ddc5424a34f0a20d9bbceb6ce7424659084555b1f3884
smackdown__tot_oddjob_tot_vs___e__dm3_2.qwd	tot	A	train	13698	89065	0.991	1399.4	319.8	2f3d08bbae0cde20a1b7c509a352d099d5c20d84844e127c4606c3e9002f8d96
smackdown__tr0n__L0D__lod_vs_sah_dm3.qwd	tr0n	B	train	6909	79650	0.797	1145.6	298.4	2964c42761ee7d584a1311b32da7a8c9464c84c4b3a697fe6323cece857f44aa
smackdown__tr0n_______l0d__lod_vs_5_dm3.qwd	tr0n	A	train	12663	83137	0.956	1539.6	244.8	f38cbc9ae7535edbb5f1f78822c889240f111994005ae834136e3b265c0ddb5c
quakeworld__CHTV_CAMP-Sweden_NONE-None_ETA-BETA_DM3_QuakeWorld_Trick__dm3_trick.qwd	trick	B	train	1427	4870	0.884	723.7	270.2	c2476a0ecc1d488aa604c7ab86e4271e54ad4d4620ea23ffccbaacb1f31616bf
quakeworld__CHTV_kimbo-Sweden_none-None_kimbo_dm3_QuakeWorld_Trick__trick.qwd	trick	A	train	3951	7341	0.967	552.5	141.3	bc592f314bb5da77f5d45db633687c0ed1ed6d6c587c09703e8e4533399516c2
quakeworld__CHTV_the-interceptor-Sweden_trick-_the-interceptor_various_QuakeWorld_Trick__dm3-trick-02.qwd	trick	A	train	549	550	0.998	532.2	435.6	697c7bf6a7a071a72522db9b02d4f881b6d9d20956d47695a41726cce41439c4
quakeworld__CHTV_ApoKaLypZe-Sweden_various-Argentina_ApoKaLypZe_various_QuakeWorld_Trick__dm3-trick1.qwd	trick1	A	train	375	425	0.998	685.4	640.1	b10917c933e056d4c924b55f8f47aeaf10dc50e1fdc5c829f7c76a475ad522aa
quakeworld__CHTV_Newtov-USA_Trick-USA_Newtov_DM3_QuakeWorld_Trick__trick1.qwd	trick1	A	train	458	1625	0.995	624.1	492.5	f897ae5c0462bdacb89f26c335ad3e39fc11d228730dab8f606ea88033e628f3
quakeworld__CHTV_Newtov-USA_Trick-USA_Newtov_DM3_QuakeWorld_Trick__trick2.qwd	trick2	A	train	394	773	0.994	548.0	446.5	273e01d7c3b02e0b16c1064a4d6407d2465de548dc666cb08818efbfcab5fb31
quakeworld__CHTV_Newtov-USA_None-None_Newtov_Various_QuakeWorld_Trick__DM3_trick5.qwd	trick5	A	train	408	479	0.987	674.1	455.9	2a146369734533d2a8d7de838ea28d8e52154e38f6b6d95a60f3827b602e3077
smackdown__smackdown_semifinals_tvs_dm3.qwd	tvs	A	train	35656	87562	0.904	1394.2	321.6	67392d104a9d4f86f1a409d3f462d870653775300c91fa8194d06882408cac8c
quakeworld__CHTV_Maniacs-Sweden_WH-Sweden_tyrone_dm3_QuakeWorld_4v4__4v4_wh_[vs]_[0]__dm3__tyrone.qwd	tyrone	B	train	11539	85751	0.747	1007.1	320.0	4b41515e1b9849edf4511bb2a1edab447a3f2b2ec5898515c457053d692b2aeb
quakeworld__CHTV_mix-Europe_mix-Europe_tyrone_dm3_QuakeWorld_4v4__4v4_1_[vs]_4k_dm3_tyrone.qwd	tyrone	B	train	9930	62452	0.805	1726.5	307.3	d7a90859d0014a7d76e55b1a5995f8e9fb43d2f0881625f5ec9fd395e8d56924
SmackDown3__game_349_Quad_CRC_2_DM3_uig.qwd	uig	B	train	9356	86579	0.866	2215.4	327.9	7d6e0b7b775c4eee154fe91a1463f803b42e162828cd0e445b8e024376a2522f
smackdown__gds_adm_1_dm3_uther.qwd	uther	C	train	9869	76283	0.536	1203.5	288.5	243df0a9b7ce4acb8d79cf41bf5f6f5bbfa9362bffa5dcbae61eb29674001f30
smackdown__gds_adm_2_dm3_uther.qwd	uther	C	train	12467	76556	0.527	980.6	287.6	7d14e71d146ff58f99b1a9d3876854d726a2bdb31067db1089e3a97bf5ccdbb1
smackdown2__[E]_n0skill__1_dm3_Vana.qwd	vana	B	train	10569	90880	0.778	1282.3	320.2	fe684c3534398c10593d2c0c43321619fe8d0c8c3af047148b6f8ca441e54507
smackdown2__game_271_E_CMF_2_DM3_Vana.qwd	vana	B	train	14435	87582	0.778	1459.9	319.5	bce1433279b082997616122aafcb0cb766e11c5351c46adba1eedec72f9bc066
smackdown2__vana_e_vs_para_dm3.qwd	vana	A	train	13213	86918	0.915	1292.2	319.9	3714fd1434c8c05407fa98af94e8d3801d9fc3fbe3ebcade1c79f8cfbdf08016
smackdown__vana_e_vs_ff_dm3_1.qwd	vana	A	train	11822	86886	0.978	1711.0	319.5	864c478743988d23d4a1bc4fbe0191102f6fe73990aa7c4739e7647458f8f95b
smackdown__vana_e_vs_ff_dm3_2.qwd	vana	A	train	12714	89555	0.978	1597.2	318.8	0cb7e86b1ca7ec50777de35420552afb2abe1f2fb539bf80e4aefc94111f09ad
smackdown__vana_e_vs_ff_dm3_3__vana_e_vs_ff_dm3.qwd	vana	A	train	8316	67634	0.974	1240.5	319.3	113136db59e0a397ac3246987ab4943caa77d21817c56b2b60457269ad10a2c1
smackdown__vana_e_vs_ff_dm3_3__vana_e_vs_ff_dm3_12.qwd	vana	A	train	3343	21697	0.974	880.4	278.7	c7750aca8f15fea8142418c9854b1819cb908371448c178d1b048b8553b0b80c
smackdown2__cmf_ns_1_dm3_vert.qwd	vert	A	train	9607	86984	0.979	1362.9	320.9	f1422e11e42b58c4b2ffd2215c975825056b3f48568f35188f2e32c842b6c330
smackdown2__cmf_plg_1_dm3_vert.qwd	vert	B	train	12748	85766	0.865	2203.9	319.1	99baba682b4ff2adaa90515595952ab849ce6ca20a828f7ce43ecc4f33685207
smackdown__amd_sas_1_dm3_vovik.qwd	vovik	C	train	18320	89426	0.655	1283.6	319.4	0f44b6e832c8a874f8d385252f1b653259720d177f1a0560251363cd74e6d5a4
smackdown2__chtv-smackdown2-eg-vs-5-wang-dm3.qwd	wang	B	train	49509	98700	0.894	595.7	223.4	b9237efec2e47e231abe5c7d05601f1c6c1c207668797d7cc2c1be8d26865133
SmackDown4__game_721_msr_gs_1_dm3_wart.qwd	wart	B	train	4239	87273	0.825	1119.5	330.4	67e97e1b14cd5118a4b0edc0047736db611ede94af22a4927faafe4bd44e273a
SmackDown4__game_730_db_msr_3_dm3_wart.qwd	wart	B	train	2744	87649	0.836	1444.7	328.4	a7d28af6935a0dd3c36c2241c628726fe522f376902baa96b7ba1559e10e20b9
smackdown2__azul_aok_1_dm3_wart.qwd	wart	C	train	4330	85515	0.663	1323.5	324.8	623b8354ffe3d678415305927795d7820c78c4b5b1884a955e6a5b905c268c44
smackdown__fa_adm_1_dm3_wart.qwd	wart	B	train	102	28490	0.73	1552.2	325.0	51b0669dbcf1984a047becc7e7c8c547b0d207e5e7a6db53714abdd6e4cd69dd
smackdown__gds_adm_1_dm3_wart.qwd	wart	C	train	653	28948	0.613	1084.2	325.0	2b178a517a26044ffee1cb3d2dbd44e461c509d28906da2e23cd49a653a5f4f6
smackdown__gds_adm_2_dm3_wart.qwd	wart	B	train	479	29119	0.71	1366.3	321.7	912f361bd8b61c987f43bd495112943369e74698b1339a2433732703a7b109ce
smackdown__list_adm_1_dm3_wart.qwd	wart	C	train	354	28135	0.539	1236.4	323.0	879aa787e6f967d8da63cf8894c19f5b034215eccd16bc173def75f49dab0c92
smackdown__rb_adm_1_dm3_wart.qwd	wart	B	train	675	28361	0.787	1404.5	323.2	ceffcd85e726a902f37144f0dd2008d5bb54f6123d93bff658a3d0b31f435cab
smackdown2__ritual-wxo-dm3.qwd	wxo	A	train	13812	86459	0.98	1091.5	321.3	00c43ac6c4e7bd62d0c2f0793a289d1b08576d2c334eee47d7059e93c6f4a276
SmackDown3__game_600_Diva_]SR[_3_DM3_Xalibur.qwd	xalibur	A	train	13734	86581	0.971	1380.5	319.8	b86d4cb7be1d9b313679bb4b7fac4b8b368565d1c6e16b86660ea6b2b9987984
SmackDown3__game_441_OMG_AQ_2_DM3_xxx.qwd	xxx	A	train	27419	89683	0.912	1392.6	323.1	bfdaad371fb082244543e8211c2b8d23a30215bcc9c7799077014c8e048bf66b
quakeworld__CHTV_mix-Sweden_mix-Sweden_Sassa_dm3_QuakeWorld_4v4__2003-12-23_blue_vs_yell_[dm3]_000.qwd	yell	B	train	12802	92665	0.82	1152.7	333.3	48f3a5fea241a4f7a504f2e1a3c26ab3ab9bc90961cd0190a92807ddace0cb08
smackdown__pietro_z2_dm3.qwd	z2	A	train	9165	87485	0.967	1663.2	311.0	682f7d9cba2d40aaef3938874f3419c422f3a71258e89efe7aa7fd98899c72d6
smackdown2__game_258_ANTX_defs_4_DM3_Zip.qwd	zip	C	train	5423	59997	0.561	1465.6	321.0	f0ade848a50134961dfd4b60a6afac6dd2c938ef2a0175396603929ce382588f
quakeworld__CHTV_Medievel_Spawns-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_mvs_vs_np!_dm3_zodiax.qwd	zodiax	A	train	39932	84531	0.94	1182.2	319.1	a90d4b8678fd6e1f84e452ddd99f1249dd411869b26805b8de1d084df9a5d5d2
smackdown2__4k_dsg_2_dm3_zommy.qwd	zommy	A	train	9486	86626	0.981	4403.9	322.6	7fe303873473f3c4e7d5ff77b17e47049a058627756d3d56977d2b1bae43c680
